chave;nome;endereco;bairro_tse;bairro_ibge;regiao;cep;lat;lon;aptos;aptos_2022;aptos_2024;n_secoes_2022;comparecimento_22;abstencao_22;validos_dep_est_22;votos_novo_dep_est_22;pct_novo_dep_est_22;votos_pl_dep_est_22;pct_pl_dep_est_22;votos_direita_dep_est_22;pct_direita_dep_est_22;validos_dep_fed_22;votos_novo_dep_fed_22;pct_novo_dep_fed_22;votos_pl_dep_fed_22;pct_pl_dep_fed_22;votos_direita_dep_fed_22;pct_direita_dep_fed_22;votos_bolsonaro_22;pct_bolsonaro_22;votos_gov_novo_22;pct_gov_novo_22;votos_gov_pl_22;pct_gov_pl_22;validos_ver_24;votos_novo_ver_24;pct_novo_ver_24;votos_pl_ver_24;pct_pl_ver_24;votos_direita_ver_24;pct_direita_ver_24;top3_vereadores_direita;prefeito_lider_24;prefeito_2024_pct;votos_matheus_22;penetracao_matheus;pct_16a24;pct_60mais;pct_superior;pct_feminino;comp_potencial;comp_liberal;comp_densidade;comp_consistencia;flag_pequeno;score
Z13-L1325;ESCOLA DE EDUCACAO BASICA IDELFONSO LINHARES;RUA VER. OSVALDO BITTENCOURT, N. 206;CARIANOS;Carianos;Sul da Ilha;88047700;-27,6656;-48,5372;6484,0000;6484,0000;6333,0000;17,0000;5414,0000;0,1650;4843,0000;118,0000;0,0244;1142,0000;0,2358;1260,0000;0,2602;4796,0000;358,0000;0,0746;1529,0000;0,3188;1887,0000;0,3935;2794,0000;0,5417;88,0000;0,0175;1464,0000;0,2913;4338,0000;119,0000;0,0274;618,0000;0,1425;737,0000;0,1699;Gilberto Alcebiades Pinheiro (PL, 156 votos) | João Ricardo Padilha Santos (PL, 92 votos) | Manoella Vieira Da Silva (PL, 70 votos);Topazio Silveira Neto (63,9%);"{""Topazio Silveira Neto"": 63.9, ""Marcos José De Abreu"": 17.3, ""Pedro De Assis Silvestre"": 8.3, ""Vanderlei Farias"": 5.4, ""Dário Elias Berger"": 4.7, ""Rogerio Silva Portanova"": 0.2, ""Brunno Andrade Dias"": 0.0, ""Carlos Rogério Muller"": 0.0, ""Mateus Souza"": 0.0}";4,0000;0,0032;0,1178;0,2059;0,2481;0,5231;0,6528;0,2152;0,7514;0,6554;False;62,5000
Z100-L1740;UDESC - ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GERÊNCIA - ESAG;AVENIDA MADRE BENVENUTA, 2037;ITACORUBI;Itacorubi;Centro;88035001;-27,5859;-48,5026;3181,0000;3181,0000;3289,0000;8,0000;2748,0000;0,1361;2589,0000;241,0000;0,0931;447,0000;0,1727;688,0000;0,2657;2564,0000;529,0000;0,2063;460,0000;0,1794;989,0000;0,3857;1211,0000;0,4507;159,0000;0,0597;569,0000;0,2135;2377,0000;244,0000;0,1027;421,0000;0,1771;665,0000;0,2798;Manoella Vieira Da Silva (PL, 138 votos) | Rafael Luiz Marques Ary (NOVO, 69 votos) | Ingo Camara Althoff (PL, 49 votos);Topazio Silveira Neto (58,8%);"{""Topazio Silveira Neto"": 58.8, ""Marcos José De Abreu"": 25.7, ""Pedro De Assis Silvestre"": 8.0, ""Vanderlei Farias"": 3.8, ""Dário Elias Berger"": 3.3, ""Mateus Souza"": 0.1, ""Rogerio Silva Portanova"": 0.1, ""Brunno Andrade Dias"": 0.1}";1,0000;0,0015;0,0431;0,1902;0,6583;0,5297;0,3565;0,8149;0,3686;0,9472;False;62,3000
Z13-L1562;ESCOLA BÁSICA MUNICIPAL JOÃO GONÇALVES PINHEIRO;RUA SILVIO LOPES ARAÚJO, S/N;RIO TAVARES;Rio Tavares do Norte;Sul da Ilha;88048391;-27,6505;-48,4777;6682,0000;6682,0000;6538,0000;17,0000;5428,0000;0,1877;4998,0000;205,0000;0,0410;739,0000;0,1479;944,0000;0,1889;4910,0000;479,0000;0,0976;795,0000;0,1619;1274,0000;0,2595;1976,0000;0,3770;122,0000;0,0239;958,0000;0,1874;4304,0000;113,0000;0,0263;802,0000;0,1863;915,0000;0,2126;Gilberto Alcebiades Pinheiro (PL, 356 votos) | Katia Chubaci (PL, 98 votos) | Manoella Vieira Da Silva (PL, 77 votos);Topazio Silveira Neto (47,1%);"{""Topazio Silveira Neto"": 47.1, ""Marcos José De Abreu"": 37.7, ""Dário Elias Berger"": 6.2, ""Vanderlei Farias"": 4.7, ""Pedro De Assis Silvestre"": 4.2, ""Rogerio Silva Portanova"": 0.1, ""Brunno Andrade Dias"": 0.0}";3,0000;0,0032;0,1030;0,1345;0,3839;0,5325;0,4891;0,2953;0,7744;0,9101;False;62,2000
Z12-L1805;CORAÇÃO DE JESUS - ASSOCIAÇÃO FRANCISCANA DE ENSINO BOM JESUS;RUA EMIR ROSA, N. 120;CENTRO;Centro;Centro;88020050;-27,5943;-48,5471;3423,0000;3423,0000;3424,0000;11,0000;2858,0000;0,1651;2709,0000;208,0000;0,0768;562,0000;0,2075;770,0000;0,2842;2671,0000;509,0000;0,1906;582,0000;0,2179;1091,0000;0,4085;1491,0000;0,5335;138,0000;0,0500;683,0000;0,2476;2402,0000;221,0000;0,0920;449,0000;0,1869;670,0000;0,2789;Manoella Vieira Da Silva (PL, 128 votos) | Thiago Jose De Chaves (NOVO, 79 votos) | Ingo Camara Althoff (PL, 65 votos);Topazio Silveira Neto (61,2%);"{""Topazio Silveira Neto"": 61.2, ""Marcos José De Abreu"": 21.1, ""Pedro De Assis Silvestre"": 10.3, ""Vanderlei Farias"": 4.2, ""Dário Elias Berger"": 2.7, ""Rogerio Silva Portanova"": 0.4, ""Carlos Rogério Muller"": 0.1, ""Mateus Souza"": 0.0}";0,0000;0,0000;0,0684;0,3024;0,6293;0,5603;0,3990;0,6969;0,3967;0,9806;False;62,1000
Z100-L1481;ESCOLA DE ENSINO BASICO LEONOR DE BARROS;RUA PASTOR WILLIAM RICHARD SCHISLER FILHO, 80;ITACORUBI;Itacorubi;Centro;88034101;-27,5758;-48,5084;5019,0000;5019,0000;4872,0000;13,0000;4248,0000;0,1536;3946,0000;220,0000;0,0558;628,0000;0,1591;848,0000;0,2149;3862,0000;603,0000;0,1561;590,0000;0,1528;1193,0000;0,3089;1722,0000;0,4041;134,0000;0,0331;759,0000;0,1877;3214,0000;218,0000;0,0678;539,0000;0,1677;757,0000;0,2355;Manoella Vieira Da Silva (PL, 135 votos) | Giliard Eliezer Batista Torquato (PL, 84 votos) | Rafael Luiz Marques Ary (NOVO, 60 votos);Topazio Silveira Neto (56,5%);"{""Topazio Silveira Neto"": 56.5, ""Marcos José De Abreu"": 26.6, ""Pedro De Assis Silvestre"": 7.7, ""Vanderlei Farias"": 4.9, ""Dário Elias Berger"": 3.8, ""Rogerio Silva Portanova"": 0.3, ""Carlos Rogério Muller"": 0.1, ""Mateus Souza"": 0.1, ""Brunno Andrade Dias"": 0.0}";4,0000;0,0047;0,1140;0,1191;0,5091;0,5298;0,4394;0,5094;0,5816;0,9219;False;61,8000
Z13-L1295;COLEGIO ESTADUAL GETULIO VARGAS;RUA JOAO MOTTA ESPEZIM, N. 499;SACO DOS LIMÕES;Saco dos Limões;Centro;88045400;-27,6076;-48,5353;7163,0000;7163,0000;7419,0000;19,0000;5795,0000;0,1910;5141,0000;103,0000;0,0200;780,0000;0,1517;883,0000;0,1718;5036,0000;354,0000;0,0703;947,0000;0,1880;1301,0000;0,2583;2472,0000;0,4374;74,0000;0,0138;1107,0000;0,2066;4892,0000;106,0000;0,0217;718,0000;0,1468;824,0000;0,1684;Gilberto Alcebiades Pinheiro (PL, 268 votos) | Giliard Eliezer Batista Torquato (PL, 76 votos) | Manoella Vieira Da Silva (PL, 62 votos);Topazio Silveira Neto (58,0%);"{""Topazio Silveira Neto"": 58.0, ""Marcos José De Abreu"": 19.7, ""Dário Elias Berger"": 7.7, ""Pedro De Assis Silvestre"": 7.2, ""Vanderlei Farias"": 6.9, ""Rogerio Silva Portanova"": 0.3, ""Carlos Rogério Muller"": 0.1}";1,0000;0,0011;0,1328;0,2197;0,2095;0,5262;0,4575;0,1740;0,8301;0,9882;False;60,0000
Z100-L1368;ESCOLA DE ENSINO BÁSICO INTENDENTE JOSE FERNANDES;RUA JOAO GUALBERTO SOARES, 324;SITIO CAPIVARI/INGLESES;Capivari;Norte da Ilha;88058300;-27,4426;-48,4028;6728,0000;6728,0000;6395,0000;18,0000;5125,0000;0,2383;4486,0000;59,0000;0,0132;959,0000;0,2138;1018,0000;0,2269;4428,0000;279,0000;0,0630;984,0000;0,2222;1263,0000;0,2852;2589,0000;0,5271;29,0000;0,0061;1190,0000;0,2506;3946,0000;60,0000;0,0152;888,0000;0,2250;948,0000;0,2402;João Paulo Ferreira (PL, 323 votos) | Marcelo Fernando De Oliveira (PL, 164 votos) | Manuel Cristovão Augusto Junior (PL, 104 votos);Topazio Silveira Neto (66,4%);"{""Topazio Silveira Neto"": 66.4, ""Marcos José De Abreu"": 11.2, ""Dário Elias Berger"": 11.0, ""Vanderlei Farias"": 6.8, ""Pedro De Assis Silvestre"": 4.4, ""Rogerio Silva Portanova"": 0.1, ""Brunno Andrade Dias"": 0.0, ""Carlos Rogério Muller"": 0.0}";0,0000;0,0000;0,0752;0,2271;0,1225;0,5490;0,5275;0,1175;0,7797;0,9499;False;59,7000
Z13-L1791;COLEGIO ESTADUAL SIMAO JOSE HESS;AVENIDA MADRE BENVENUTA, 463;TRINDADE;Trindade;Centro;88036500;-27,5917;-48,5169;4682,0000;4682,0000;4897,0000;14,0000;3955,0000;0,1553;3602,0000;161,0000;0,0447;626,0000;0,1738;787,0000;0,2185;3574,0000;433,0000;0,1212;683,0000;0,1911;1116,0000;0,3123;1637,0000;0,4135;109,0000;0,0292;819,0000;0,2195;3301,0000;245,0000;0,0742;501,0000;0,1518;746,0000;0,2260;Manoella Vieira Da Silva (PL, 95 votos) | João Ricardo Padilha Santos (PL, 77 votos) | Rafael Luiz Marques Ary (NOVO, 61 votos);Topazio Silveira Neto (56,0%);"{""Topazio Silveira Neto"": 56.0, ""Marcos José De Abreu"": 25.9, ""Vanderlei Farias"": 6.6, ""Pedro De Assis Silvestre"": 6.4, ""Dário Elias Berger"": 4.6, ""Rogerio Silva Portanova"": 0.3, ""Brunno Andrade Dias"": 0.1, ""Carlos Rogério Muller"": 0.0, ""Mateus Souza"": 0.0}";2,0000;0,0025;0,1273;0,2281;0,4406;0,5466;0,4078;0,4752;0,5426;0,9722;False;59,5000
Z100-L1090;ACOJAR;RUA NERY CARDOSO BITTENCOURT, N. 61;SANTA MÔNICA;Santa Mônica;Centro;88035100;-27,5916;-48,5088;2777,0000;2777,0000;2678,0000;7,0000;2346,0000;0,1552;2229,0000;190,0000;0,0852;428,0000;0,1920;618,0000;0,2773;2193,0000;382,0000;0,1742;451,0000;0,2057;833,0000;0,3798;1094,0000;0,4775;95,0000;0,0423;556,0000;0,2473;1867,0000;198,0000;0,1061;303,0000;0,1623;501,0000;0,2683;Manoella Vieira Da Silva (PL, 98 votos) | Rafael Luiz Marques Ary (NOVO, 58 votos) | João Ricardo Padilha Santos (PL, 38 votos);Topazio Silveira Neto (60,8%);"{""Topazio Silveira Neto"": 60.8, ""Marcos José De Abreu"": 25.4, ""Pedro De Assis Silvestre"": 6.0, ""Vanderlei Farias"": 4.9, ""Dário Elias Berger"": 2.5, ""Rogerio Silva Portanova"": 0.2, ""Mateus Souza"": 0.2, ""Carlos Rogério Muller"": 0.1}";0,0000;0,0000;0,1055;0,2539;0,6064;0,5117;0,3202;0,7868;0,3218;0,9668;False;59,2000
Z13-L1570;ESCOLA DE ENSINO MÉDIO VEREADOR OSCAR MANOEL CONCEIÇÃO;RODOVIA SC 405, S/N,;RIO TAVARES;Campeche Central;Sul da Ilha;88048000;-27,6658;-48,5031;7148,0000;7148,0000;6924,0000;18,0000;5771,0000;0,1926;5252,0000;146,0000;0,0278;949,0000;0,1807;1095,0000;0,2085;5154,0000;430,0000;0,0834;994,0000;0,1929;1424,0000;0,2763;2430,0000;0,4292;98,0000;0,0180;1141,0000;0,2099;4551,0000;89,0000;0,0196;1439,0000;0,3162;1528,0000;0,3358;Gilberto Alcebiades Pinheiro (PL, 1012 votos) | Manoella Vieira Da Silva (PL, 68 votos) | Katia Chubaci (PL, 57 votos);Topazio Silveira Neto (52,9%);"{""Topazio Silveira Neto"": 52.9, ""Marcos José De Abreu"": 27.2, ""Vanderlei Farias"": 7.5, ""Dário Elias Berger"": 6.7, ""Pedro De Assis Silvestre"": 5.4, ""Rogerio Silva Portanova"": 0.1, ""Brunno Andrade Dias"": 0.0, ""Carlos Rogério Muller"": 0.0, ""Mateus Souza"": 0.0}";0,0000;0,0000;0,1160;0,1756;0,2732;0,5457;0,5674;0,2060;0,8284;0,5138;False;57,8000
